性别,最高学历,大学类型,标准化借款类型,担保,项目金额,收益,周期_月,月还本息,总还款本息,借款描述字数,累积借款金额,累积还款金额,累积逾期金额,累积已还次数,累积逾期次数,累积逾借金额比,累积逾期次数比,安全标
男,本科,重点高校,购物,否,650,38.44,6,114.74,688.44,38,900,930.2,0,8,0,0,0,1
女,专科,其他,生活开销,否,500,25.3,5,105.06,525.2999,11,3400,3665.9,0,46,0,0,0,1
女,本科,其他,担保交易,否,382.29,18.03,6,66.72,400.32,0,1830.23,2074.81,0,36,0,0,0,1
男,本科,其他,学习进修,否,2400,64.29,3,821.43,2464.29,24,162.04,164.47,0,2,0,0,0,1
男,本科,其他,购物,否,1000,33.56,4,258.39,1033.56,27,0,0,0,0,0,0,0,1
男,本科,其他,学习进修,是,1000,54.76,4,263.69,1054.76,4,2000,2109.9,0,7,0,0,0,1
男,本科,其他,生活开销,否,1000,65.95,5,213.19,1065.95,26,7000,7487.81,0,28,0,0,0,1
男,本科,其他,购物,是,1000,21.67,1,1021.67,1021.67,14,41080,45955.53,0,170,0,0,0,1
男,本科,重点高校,付房租,是,800,61.78,6,143.63,861.78,4,8300,9031,0,67,0,0,0,1
男,专科,其他,购物,否,1000,59.12,6,176.52,1059.119,18,3562.45,3742.79,0,66,0,0,0,1
女,本科,其他,其他,否,1000,59.12,6,176.52,1059.119,9,3694.96,3878.32,0,30,0,0,0,1
女,本科,其他,购物,是,1750,103.46,6,308.91,1853.46,0,14194.96,14989.65,0,85,0,0,0,1
男,专科,其他,其他,否,3000,60.14,2,1530.07,3060.14,35,0,0,0,0,0,0,0,1
男,本科,其他,其他,是,1563.83,92.47,6,276.05,1656.3,0,1976.02,2091.61,0,39,0,0,0,1
男,本科,其他,担保交易,否,1275.21,37.39,4,328.15,1312.6,0,0,0,0,0,0,0,0,1
女,本科,其他,购物,是,440,11.04,2,225.52,451.04,11,7049.87,7420.6,0,35,0,0,0,1
女,专科,其他,旅游,否,500,16.75,3,172.25,516.75,5,4500,4632.48,0,24,0,0,0,1
女,专科,其他,学习进修,否,500,16.75,3,172.25,516.75,9,7500,7737.29,0,46,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,65,3000,0,10133.79,0,18,0.77158153,1,0
男,专科,其他,学习进修,否,1000,77.18,6,179.53,1077.18,2,0,0,0,0,0,0,0,1
男,本科,重点高校,生活开销,否,500,12.54,2,256.27,512.54,2,1625.73,1668.2,0,19,0,0,0,1
男,本科,重点高校,生活开销,是,300,9.77999,2,154.8899,309.7799,3,4797.47,4998.6,0,57,0,0,0,1
男,本科,重点高校,创业,是,1000,43.64,3,347.88,1043.64,1,14997.47,15787.18,0,148,0,0,0,1
男,本科,其他,购物,是,1000,59.12,6,176.52,1059.119,5,3999.15,4690.44,0,24,0,0,0,1
男,本科,其他,其他,是,872.63,67.33,6,156.66,939.96,0,11431.79,13792.69,0,45,0,0,0,1
男,专科,其他,担保交易,否,267.21,12.63,6,46.64,279.8399,0,0,0,0,0,0,0,0,1
男,本科,其他,购物,否,1000,26.78,3,342.26,1026.78,64,0,0,0,0,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,22,3000,3517.24,0,18,0,0,0,1
男,专科,其他,购物,否,500,21.82,3,173.94,521.82,6,10758.48,11197.6,0,73,0,0,0,1
男,专科,其他,其他,否,158.95,6.95,3,55.3,165.9,0,13333.85,13870.59,0,84,0,0,0,1
男,本科,其他,旅游,否,1000,42,4,260.5,1042,7,2000,2141.06,0,8,0,0,0,1
女,专科,其他,学习进修,否,500,23.62,6,87.27,523.62,4,2100,2442.78,0,24,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,4,1542.83,1624.47,0,18,0,0,0,1
男,本科,其他,其他,否,1000,26.78,3,342.26,1026.78,28,0,0,0,0,0,0,0,1
男,本科,重点高校,旅游,是,1000,43.64,3,347.88,1043.64,5,5912.31,6673.59,0,18,0,0,0,1
男,本科,其他,其他,否,500,13.39,3,171.13,513.39,46,2100,2841.44,0,13,0,0,0,1
男,本科,其他,购物,是,1000,65.95,5,213.19,1065.95,4,16000,14185.8,6519.21,76,16,0.2894955,0.17391305,0
男,本科,其他,生活开销,是,350,27.04,6,62.84,377.04,26,0,0,0,0,0,0,0,1
男,专科,其他,旅游,否,1000,13.33,1,1013.33,1013.33,38,3950,4002.68,0,9,0,0,0,1
男,专科,其他,其他,否,450,21.24,6,78.54,471.24,40,2416.67,2800.84,0,10,0,0,0,1
男,本科,其他,学习进修,是,700,15.17,1,715.17,715.17,8,4350,4593.94,0,42,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,8,3000,3137.42,0,16,0,0,0,1
男,专科,重点高校,其他,否,200,8.4,4,52.1,208.4,2,3166.67,3272.47,0,23,0,0,0,1
女,专科,其他,学习进修,否,300,4,1,304,304,5,600,854.77,0,2,0,0,0,1
男,本科,其他,购物,是,120,3.3,2,61.65,123.3,2,4679.91,4900.3,0,41,0,0,0,1
男,本科,其他,其他,否,1000,26.78,3,342.26,1026.78,59,1200,1551.78,0,5,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,45,5400,7472.81,0,30,0,0,0,0
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,22,5000,5813.38,0,30,0,0,0,1
男,本科,其他,创业,是,1000,77.18,6,179.53,1077.18,2,11000,13765.98,0,66,0,0,0,1
男,专科,其他,生活开销,否,600,44.52,6,107.42,644.52,19,4000,5210.65,0,31,0,0,0,1
女,专科,其他,学习进修,否,2000,94.36,6,349.06,2094.36,10,0,0,0,0,0,0,0,1
男,专科,其他,学习进修,否,1000,16.67,1,1016.67,1016.67,28,4000,4097.03,0,4,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,13,8294.35,9050.03,0,43,0,0,0,1
女,专科,其他,其他,否,329.99,15.55,6,57.59,345.54,24,2670.01,3051.92,0,12,0,0,0,1
女,本科,其他,旅游,否,800,47.32,6,141.22,847.32,2,6100,6365.96,0,41,0,0,0,1
女,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,5,11400,11992.43,0,89,0,0,0,1
男,本科,其他,生活开销,否,200,9.46,6,34.90999,209.46,2,1220,1255.98,0,11,0,0,0,1
男,本科,其他,学习进修,否,200,3.33,1,203.33,203.33,4,4050,4217.71,0,38,0,0,0,1
男,本科,其他,旅游,是,1000,77.18,6,179.53,1077.18,24,3153.97,3756.89,2442.63,20,4,0.4364489,0.16666667,0
男,专科,其他,生活开销,是,500,35.56,6,89.26,535.5599,6,14374.3,15115.9,0,94,0,0,0,1
男,专科,其他,购物,是,500,35.56,6,89.26,535.5599,6,14874.3,15651.46,0,100,0,0,0,1
女,本科,重点高校,旅游,否,250,11.78,6,43.63,261.7799,37,0,0,0,0,0,0,0,1
男,专科,其他,生活开销,否,200,6.7,3,68.9,206.7,3,2259.38,2365.98,0,12,0,0,0,1
男,本科,其他,学习进修,否,1000,47.18,6,174.53,1047.18,14,500,513.39,0,3,0,0,0,1
女,专科,其他,旅游,是,660,50.94,6,118.49,710.94,12,4764.42,5099.17,0,57,0,0,0,1
女,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,11,7524.42,8072.35,0,81,0,0,0,1
男,本科,其他,购物,否,1000,21.67,1,1021.67,1021.67,16,5899.17,6727.36,0,30,0,0,0,1
男,本科,其他,创业,是,400,30.86,6,71.81,430.86,7,8236.46,8738.96,0,48,0,0,0,1
男,专科,其他,学习进修,否,100,2.69,3,34.22999,102.69,2,830,1023.97,0,6,0,0,0,1
男,专科,其他,担保交易,否,182.29,8.63,6,31.82,190.92,0,0,0,0,0,0,0,0,1
男,本科,其他,创业,否,1500,30.06,2,765.03,1530.06,54,0,0,0,0,0,0,0,1
男,本科,其他,购物,是,1000,77.18,6,179.53,1077.18,6,7500,7684.87,2194.04,54,7,0.22632876,0.114754096,0
男,本科,其他,其他,是,3695.68,285.26,6,663.49,3980.94,0,7000,7370.37,0,33,0,0,0,1
男,本科,重点高校,旅游,否,800,26.84,4,206.71,826.84,17,1500,1621.1,0,9,0,0,0,1
男,本科,其他,其他,否,2000,67.12,4,516.78,2067.12,61,0,0,0,0,0,0,0,1
女,本科,其他,担保交易,否,595,28.1,6,103.85,623.1,0,1144.09,1249.8,0,14,0,0,0,1
女,本科,重点高校,购物,否,200,8.38,3,69.45999,208.38,12,7000,7408.89,0,31,0,0,0,1
男,专科,其他,创业,否,1600,42.86,3,547.62,1642.86,2,1100,1122.75,0,4,0,0,0,1
男,本科,其他,创业,否,800,47.32,6,141.22,847.32,7,3100,3347.15,0,16,0,0,0,1
男,本科,其他,购物,否,500,8.33,1,508.33,508.33,16,11779.21,12231.78,0,81,0,0,0,1
男,专科,其他,旅游,是,1000,77.18,6,179.53,1077.18,4,2000,718.16,3569.48,4,8,0.6409001,0.6666667,0
男,本科,其他,担保交易,否,976.53,57.75,6,172.38,1034.28,0,2060.41,2192.38,0,12,0,0,0,1
男,专科,其他,生活开销,否,300,5,1,305,305,5,2300,2408.52,0,12,0,0,0,1
男,专科,其他,担保交易,否,396.16,5.96,2,201.06,402.12,0,783.09,801.44,0,3,0,0,0,1
男,专科,其他,创业,否,500,23.62,6,87.27,523.62,7,1500,1983.29,0,9,0,0,0,1
男,专科,其他,其他,否,1200,56.64,6,209.44,1256.64,58,0,0,0,0,0,0,0,1
男,本科,其他,旅游,是,500,29.56,6,88.26,529.5599,4,8197.17,8673.01,0,92,0,0,0,1
男,本科,其他,其他,否,2000,53.56,3,684.52,2053.56,24,1000,0,1238.4,0,3,0.55325234,0.99999994,0
男,专科,其他,购物,是,1000,21.67,1,1021.67,1021.67,3,4996.67,5384.99,0,17,0,0,0,0
男,本科,其他,学习进修,是,1000,77.18,6,179.53,1077.18,6,300,414.77,0,6,0,0,0,0
女,本科,其他,其他,否,1500,70.8,6,261.8,1570.8,117,0,0,0,0,0,0,0,1
男,专科,其他,其他,否,304.21,13.28,3,105.83,317.49,0,14193.68,15454.87,0,44,0,0,0,1
男,本科,其他,生活开销,是,1000,77.18,6,179.53,1077.18,6,9200,9700.76,0,45,0,0,0,1
